id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26957924,Harvard Sq 1Br w/parking walk to HBS/HLS/MIT/BU,184906834,Janice,,Allston,42.3686,-71.11414,Entire home/apt,279,3,114,2022-06-11,2.42,5,0,9,STR-17468
1821633,Queen Size Four Poster Bed,7799789,Bruce,,Dorchester,42.30837,-71.0461,Private room,100,29,211,2020-03-07,2.01,3,365,0,STR-415377
1881298,Private Apartment- Minutes from T!,1920539,Caitlin & Dan,,Jamaica Plain,42.29867,-71.1131,Entire home/apt,148,1,603,2022-05-27,5.77,1,12,50,STR-396736
2583074,Cozy room in a charming villa.,13226301,Mohamed,,Roslindale,42.27909,-71.13597,Private room,40,28,41,2020-10-20,0.43,4,14,0,STR-398232
2843445,"""Tranquility"" on ""Top of the Hill""",3164508,Marilyn,,Roslindale,42.28278,-71.13878,Private room,85,91,75,2017-12-31,0.76,2,365,0,STR-398654
2846739,SECOND FLOOR PARLOR ROOM,85770,Robert,,South End,42.34514,-71.07302,Private room,140,29,177,2019-10-31,1.79,4,90,0,STR-410426
2892825,Luxury Sunny Hill Garden Townhouse Suite 1,14785487,Aihua,,Roxbury,42.31018,-71.08543,Entire home/apt,450,31,14,2019-08-31,0.15,7,172,0,300192297
3575220,The Artist room in beautiful villa.,13226301,Mohamed,,Roslindale,42.28037,-71.13669,Private room,50,28,34,2021-12-19,0.36,4,78,4,STR-398232
4085362,"""Room with a View""  from ""Top of the Hill""",3164508,Marilyn,,Roslindale,42.28289,-71.14078,Private room,85,91,26,2017-09-30,0.28,2,364,0,STR-398654
4315428,Master Suite@ Logan Airport,22402141,Mirian,,East Boston,42.38903,-71.00251,Private room,100,91,1,2015-11-25,0.01,3,363,0,
4397829,Big Bedroom Queen Size in South End,22831609,Dwara,,Roxbury,42.33728,-71.07917,Private room,55,1,15,2016-08-16,0.2,1,89,0,Exempt: This listing is a hotel or motel
4461111,Queen room in a charming villa,13226301,Mohamed,,Roslindale,42.28026,-71.13584,Private room,50,28,37,2021-12-31,0.5,4,105,1,STR-398232
4526384,5 bedrooms 3 baths monthly Rental now,14785487,Aihua,,Allston,42.35984,-71.12873,Private room,650,31,33,2019-10-14,0.38,7,285,0,"I am not a hotel . 28 nights or longer is permitted by the new Ordinance. It excluded by the requirements for license

However, with the exception of licensing and restrictions : 14 days rental per year per rental property whether individually ( 14 days) or ( a few rentals ) combined (4 + 10 or 7+7 = 14 days ) are excluded."
6838488,Beautiful Townhouse Unit #2 nr Harvard U. w/ pk,14785487,Aihua,,Allston,42.35965,-71.12889,Private room,9999,31,35,2019-11-14,0.43,7,99,0,
7055184,Clean bedroom in Allston,22419290,Sylvia,,Allston,42.35368,-71.13452,Private room,35,91,2,2015-08-09,0.02,1,0,0,
7618925,Modern Classic Boston Brownstone by LMA & T,11228809,Jonathan,,Roxbury,42.32936,-71.09328,Entire home/apt,1101,2,3,2016-10-09,0.04,6,0,0,STR-443395
7956477,Private Rm in South Boston Close to Public Transit,29940942,Rich,,South Boston,42.32796,-71.05422,Private room,225,1,2,2021-10-24,0.24,1,174,2,STR-460607
12781774,Studio apartment in historic Boston,39290576,Paul,,Jamaica Plain,42.31486,-71.1144,Entire home/apt,99,2,69,2019-06-29,0.93,1,151,0,STR-410397
