id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50213973,Cozy Studio Apartment in Navy Yard + Pool + Gym,24460745,Christopher,,"Near Southeast, Navy Yard",38.8732,-77.00045,Entire home/apt,64,21,1,2021-07-25,0.13,1,0,1,
50231775,Modern 1 BR Apartment-Fully Stocked,200622780,Mavin,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92121,-77.0107,Entire home/apt,123,1,16,2022-02-28,1.85,2,174,16,
50248197,Private Master Bedroom with Private Entrance,143190847,Mahsa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91655,-77.00908,Private room,79,2,4,2021-12-13,0.44,1,0,4,
50248470,Entire two story apartment in the heart of DC,284251073,Gina,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92856,-77.03783,Entire home/apt,155,4,3,2021-12-27,0.32,1,0,3,
50289864,Brookland NE DC house w/private walk out basement,23415153,Jesse,,"North Michigan Park, Michigan Park, University Heights",38.94619,-76.99436,Private room,70,1,0,,,1,0,0,
50305835,Spacious private room in modern townhouse w/ patio,199937037,Max,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90507,-76.99112,Private room,49,10,0,,,1,0,0,
50324173,Luxury Sunny Apartment in DC with 75”4K smart TV.,372322151,Martin,,"Cathedral Heights, McLean Gardens, Glover Park",38.93294,-77.08178,Entire home/apt,145,1,8,2021-10-10,0.85,1,0,8,
50328848,BOHEMIAN CHIC Studio*NOVSpecial* 2mins 2everything,357252601,Botanical Animal,,"Cathedral Heights, McLean Gardens, Glover Park",38.92858,-77.07372,Entire home/apt,125,1,6,2021-11-21,0.91,1,322,6,
50331054,1 bedroom for extended stay in a 5 bedroom home,59360508,Matthew,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91422,-77.01969,Private room,45,90,0,,,1,0,0,
50344502,Live + Work + Stay + Easy | 1 BR in DC,359230893,Casey,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90797,-77.0,Entire home/apt,196,90,0,,,213,365,0,
50344525,Live + Work + Stay + Easy | 1 BR in DC,359230893,Casey,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90947,-77.00048,Entire home/apt,197,90,0,,,213,365,0,
